--- TREASURIES ---
ID: 2 | Name: خزينة قسم الإنتاج
ID: 3 | Name: خزينه السبك
ID: 4 | Name: خزينه احجار
ID: 5 | Name: خزينه الليزر
ID: 8 | Name: الخزينة الرئيسية
ID: 9 | Name: تحت التشغيل
ID: 10 | Name: ذهب كسر
ID: 11 | Name: تزجه قاسم
ID: 12 | Name: تزجه بابلو
ID: 13 | Name: خزينة بودر جلا
ID: 14 | Name: خزينة بودر مونموى
ID: 15 | Name: خزينة بودر سونيل
ID: 16 | Name: خزينة بودر اربال
ID: 39 | Name: خزينه بودر ليزر
ID: 40 | Name: خزينه خسية ليزر
ID: 41 | Name: خزينة بودر بيم
ID: 42 | Name: خزينه بودر سبك
